countryISO3,Deliberate neural restructuring: Religious practice,Deliberate neural restructuring: Schooling & research,Experience oriented: Active recreation,Experience oriented: Interactive,Experience oriented: Meals,Experience oriented: Passive,Experience oriented: Social,Food provision: Food growth & collection,Food provision: Food preparation,Food provision: Food processing,Maintenance of surroundings: Inhabited environment,Maintenance of surroundings: Waste management,Nonfood provision: Energy,Nonfood provision: Materials,Organization: Allocation,Organization: Human transportation,Organization: Material transportation,Somatic maintenance: Health care,Somatic maintenance: Hygiene & grooming,Somatic maintenance: Physical child care,Somatic maintenance: Sleep & bedrest,Technosphere modification: Artifacts,Technosphere modification: Buildings,Technosphere modification: Infrastructure,cluster
LVA,0.09,0.78,0.63,0.62,1.59,3.09,0.54,0.34,0.9,0.14,1.06,0.02,0.06,0.07,1.36,1.07,0.58,0.21,0.75,0.19,8.87,0.52,0.42,0.1,7
MAC,0.09,0.78,0.55,0.84,1.61,2.71,0.6,1.29,0.96,0.05,0.62,0.01,0.05,0.1,0.99,0.98,0.37,0.17,0.96,0.27,9.15,0.61,0.17,0.06,0
MAR,0.77,0.73,0.8,1.1,1.41,2.96,1.43,0.6,1.13,0.0,0.66,0.01,0.05,0.15,0.8,0.68,0.15,0.08,0.84,0.22,8.89,0.3,0.18,0.07,3
MDA,0.19,0.74,0.5,1.19,1.54,2.38,0.77,1.42,0.98,0.05,1.0,0.01,0.15,0.22,0.73,0.72,0.22,0.11,1.12,0.41,8.95,0.39,0.18,0.04,6
MDG,0.15,1.05,0.39,1.1,1.88,2.25,0.93,1.55,0.71,0.16,0.84,0.01,0.01,0.11,0.64,0.98,0.26,0.35,1.07,0.29,8.93,0.2,0.13,0.01,6
MDV,0.27,1.48,0.24,0.63,1.62,2.06,1.8,0.5,1.21,0.14,0.8,0.0,0.07,0.01,0.76,0.78,0.29,0.15,1.2,0.28,9.49,0.11,0.11,0.01,9
MEX,0.23,1.22,0.45,1.27,1.28,2.08,0.91,0.46,1.19,0.13,1.3,0.01,0.03,0.05,1.3,0.69,0.2,0.51,0.93,0.71,8.2,0.47,0.29,0.09,1
MKD,0.1,0.79,0.73,0.81,2.02,3.02,0.74,0.34,1.0,0.1,1.09,0.02,0.04,0.04,1.05,0.96,0.36,0.17,0.92,0.24,8.83,0.44,0.18,0.04,7
MLI,0.24,1.3,0.42,1.21,1.59,2.3,1.54,1.6,0.62,0.04,0.64,0.01,0.01,0.13,0.66,0.94,0.19,0.24,0.99,0.31,8.83,0.11,0.07,0.0,6
MLT,0.1,0.86,0.73,0.87,2.02,3.03,0.74,0.09,1.02,0.06,1.18,0.02,0.0,0.01,1.22,0.97,0.35,0.24,0.92,0.24,8.83,0.29,0.19,0.03,7
MMR,0.04,0.96,0.26,0.58,1.83,3.44,0.68,1.56,0.47,0.05,0.5,0.0,0.01,0.11,0.88,1.1,0.41,0.36,1.29,0.26,8.5,0.34,0.33,0.02,5
MNE,0.1,0.81,0.73,0.78,2.02,3.05,0.75,0.2,1.07,0.01,1.13,0.02,0.03,0.03,1.31,1.01,0.31,0.11,0.92,0.25,8.83,0.25,0.21,0.07,7
MNG,0.21,0.66,0.65,1.25,1.5,2.59,1.06,0.81,0.65,0.07,0.49,0.01,0.21,0.19,0.86,1.06,0.31,0.44,1.27,0.6,8.6,0.27,0.24,0.04,2
MOZ,0.15,1.07,0.39,1.1,1.88,2.25,0.93,1.24,0.72,0.16,0.86,0.01,0.01,0.11,0.86,0.98,0.27,0.36,1.07,0.29,8.93,0.17,0.17,0.02,6
MRT,0.24,1.32,0.42,1.19,1.59,2.3,1.55,0.95,0.61,0.08,0.77,0.01,0.02,0.1,0.92,0.95,0.24,0.25,1.06,0.31,8.83,0.12,0.15,0.03,8
MTQ,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
MUS,0.38,1.06,0.33,0.6,1.38,3.29,1.01,0.16,1.16,0.1,1.06,0.01,0.01,0.02,1.31,0.68,0.23,0.18,1.11,0.26,8.82,0.4,0.4,0.04,7
MWI,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
MYS,0.05,1.1,0.26,0.59,1.83,3.47,0.7,0.3,0.69,0.0,0.59,0.01,0.04,0.06,1.22,1.15,0.34,0.4,1.25,0.27,8.5,0.72,0.36,0.09,5
MYT,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
NAM,0.28,1.09,0.35,0.88,1.29,3.02,1.22,0.34,0.95,0.06,1.02,0.01,0.1,0.05,0.69,1.03,0.14,0.11,1.14,0.21,9.73,0.12,0.16,0.02,3
NCL,0.06,1.14,0.27,0.6,1.83,3.45,0.71,0.1,0.59,0.07,0.64,0.03,0.1,0.09,1.47,1.11,0.43,0.54,1.27,0.26,8.5,0.14,0.53,0.11,5
NER,0.24,1.33,0.42,1.19,1.59,2.3,1.54,0.87,0.64,0.23,0.7,0.01,0.02,0.08,0.83,0.94,0.21,0.28,1.08,0.3,8.83,0.29,0.07,0.01,8
NGA,0.24,1.31,0.42,1.19,1.59,2.3,1.55,0.97,0.67,0.07,0.66,0.01,0.03,0.14,0.9,0.95,0.24,0.25,1.01,0.3,8.83,0.24,0.1,0.02,8
NIC,0.22,1.22,0.45,1.27,1.27,2.1,0.98,0.88,1.09,0.0,1.24,0.01,0.08,0.19,1.2,0.72,0.11,0.44,0.92,0.7,8.21,0.45,0.17,0.05,1
NLD,0.1,0.81,0.65,1.35,2.09,2.91,0.83,0.13,0.67,0.06,0.88,0.01,0.02,0.01,1.28,1.05,0.34,0.26,0.93,0.21,8.81,0.35,0.21,0.06,7
NOR,0.1,0.97,0.74,1.22,1.63,2.97,1.15,0.09,0.71,0.06,0.97,0.01,0.05,0.03,1.07,1.07,0.38,0.3,0.96,0.29,8.52,0.36,0.28,0.07,2
NPL,0.27,1.4,0.23,0.63,1.62,2.06,1.8,0.6,1.22,0.12,0.72,0.01,0.03,0.05,0.59,0.75,0.22,0.08,1.21,0.27,9.49,0.3,0.3,0.04,9
NZL,0.15,0.94,0.49,0.9,1.42,3.14,1.14,0.19,0.78,0.01,0.89,0.0,0.02,0.04,1.28,0.97,0.29,0.18,0.76,0.28,9.21,0.48,0.34,0.08,2
OMN,0.88,1.13,0.55,0.69,1.21,2.59,1.94,0.36,0.61,0.05,0.6,0.01,0.02,0.05,0.79,0.6,0.11,0.21,0.98,0.29,9.85,0.28,0.17,0.05,3
PAK,0.73,1.09,0.15,0.16,1.3,1.97,1.93,0.68,1.17,0.29,0.55,0.0,0.06,0.04,0.73,0.99,0.46,0.07,1.24,0.52,8.99,0.5,0.37,0.01,9
PAN,0.22,1.29,0.45,1.29,1.27,2.09,0.98,0.47,1.09,0.07,1.35,0.01,0.03,0.05,1.37,0.7,0.25,0.51,0.94,0.69,8.21,0.2,0.38,0.08,1
PER,0.17,0.99,0.56,1.15,1.31,2.85,1.18,0.57,0.79,0.07,0.73,0.01,0.01,0.07,1.18,1.06,0.46,0.15,1.01,0.31,8.78,0.33,0.24,0.03,2
PHL,0.05,1.0,0.27,0.6,1.83,3.45,0.68,0.57,0.58,0.1,0.61,0.0,0.01,0.04,1.38,1.12,0.52,0.39,1.26,0.27,8.5,0.25,0.47,0.04,5
PNG,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
POL,0.15,0.89,0.62,0.9,1.71,3.0,0.65,0.34,1.06,0.1,0.97,0.01,0.06,0.03,1.14,0.83,0.37,0.17,1.0,0.34,8.89,0.47,0.21,0.07,7
PRI,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
PRK,0.09,0.78,0.55,0.84,1.61,2.71,0.6,1.29,0.96,0.05,0.62,0.01,0.05,0.1,0.99,0.98,0.37,0.17,0.96,0.27,9.15,0.61,0.17,0.06,0
PRT,0.1,0.86,0.73,0.78,2.02,3.02,0.75,0.15,1.05,0.07,1.15,0.01,0.01,0.02,1.12,0.96,0.33,0.22,0.93,0.24,8.83,0.43,0.17,0.04,7
PRY,0.17,1.03,0.57,1.15,1.31,2.86,1.19,0.37,0.72,0.05,0.77,0.01,0.02,0.06,1.23,1.06,0.37,0.17,1.01,0.32,8.78,0.45,0.28,0.05,2
PSE,0.47,0.97,0.49,0.9,1.79,3.08,1.09,0.14,0.87,0.07,0.82,0.0,0.02,0.02,0.93,0.76,0.22,0.15,0.85,0.25,9.45,0.26,0.35,0.05,3
PYF,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
QAT,0.47,0.89,0.49,0.89,1.79,3.09,1.09,0.13,0.87,0.01,0.83,0.0,0.05,0.08,0.63,0.77,0.17,0.11,0.84,0.27,9.45,0.22,0.63,0.23,3
REU,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
ROU,0.15,0.69,0.38,0.72,1.8,3.14,0.59,0.83,1.14,0.07,1.22,0.01,0.06,0.06,0.84,0.65,0.33,0.13,1.17,0.18,9.14,0.46,0.22,0.03,0
RUS,0.23,0.79,0.5,1.42,1.45,1.97,0.85,0.35,0.93,0.07,0.96,0.02,0.21,0.15,1.14,0.74,0.24,0.17,1.16,0.49,8.91,0.81,0.28,0.16,2
RWA,0.15,1.1,0.39,1.11,1.88,2.25,0.93,0.81,0.77,0.14,0.99,0.01,0.01,0.09,0.89,0.99,0.32,0.38,1.07,0.31,8.93,0.18,0.24,0.04,6
SAU,0.47,0.93,0.49,0.9,1.79,3.09,1.09,0.36,0.88,0.04,0.86,0.01,0.03,0.04,0.79,0.77,0.21,0.13,0.85,0.25,9.45,0.31,0.21,0.04,3
SEN,0.24,1.33,0.42,1.18,1.59,2.3,1.55,0.45,0.65,0.1,0.76,0.01,0.03,0.05,1.04,0.96,0.3,0.25,1.11,0.31,8.83,0.34,0.17,0.02,8
SGP,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
SLB,0.06,1.14,0.26,0.59,1.83,3.45,0.69,1.21,0.53,0.06,0.63,0.0,0.02,0.12,0.91,1.08,0.34,0.41,1.25,0.31,8.5,0.3,0.28,0.02,5
SLE,0.24,1.3,0.42,1.19,1.59,2.3,1.55,1.1,0.63,0.05,0.6,0.01,0.02,0.14,1.09,0.95,0.25,0.26,0.97,0.29,8.83,0.09,0.12,0.01,8
SLV,0.08,1.08,0.48,1.47,1.3,2.12,1.36,0.66,1.05,0.17,1.12,0.01,0.01,0.03,1.64,0.67,0.28,0.14,1.05,0.46,8.19,0.38,0.22,0.02,1
SOM,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
SRB,0.08,0.76,0.59,0.68,2.0,3.55,0.74,0.57,1.17,0.1,1.08,0.02,0.06,0.04,0.81,0.85,0.37,0.16,0.93,0.22,8.67,0.36,0.15,0.04,7
SSD,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
STP,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
SUR,0.17,1.03,0.57,1.15,1.31,2.86,1.19,0.37,0.72,0.05,0.77,0.01,0.02,0.06,1.23,1.06,0.37,0.17,1.01,0.32,8.78,0.45,0.28,0.05,2
SVK,0.19,0.79,0.5,1.22,1.54,2.37,0.79,0.25,1.03,0.11,1.03,0.01,0.13,0.07,1.0,0.7,0.35,0.21,1.13,0.4,8.95,0.84,0.32,0.08,2
SVN,0.1,0.81,0.69,0.62,1.5,3.09,0.96,0.46,1.06,0.08,1.39,0.01,0.04,0.03,0.96,0.87,0.38,0.17,0.75,0.23,8.63,0.83,0.26,0.08,7
SWE,0.1,0.87,0.77,1.01,1.69,3.32,1.07,0.13,0.79,0.03,0.88,0.01,0.05,0.03,1.13,1.03,0.35,0.38,0.95,0.3,8.37,0.41,0.27,0.08,7
SWZ,0.28,1.1,0.35,0.87,1.29,3.02,1.23,0.23,0.83,0.11,0.97,0.0,0.11,0.04,0.81,1.03,0.16,0.12,1.17,0.19,9.73,0.18,0.15,0.04,3
SYC,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
SYR,0.47,0.93,0.49,0.9,1.79,3.09,1.09,0.36,0.88,0.04,0.86,0.01,0.03,0.04,0.79,0.77,0.21,0.13,0.85,0.25,9.45,0.31,0.21,0.04,3
TCD,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
TGO,0.24,1.31,0.42,1.19,1.59,2.3,1.55,0.97,0.67,0.07,0.66,0.01,0.03,0.14,0.9,0.95,0.24,0.25,1.01,0.3,8.83,0.24,0.1,0.02,8
THA,0.04,0.99,0.27,0.6,1.83,3.45,0.68,0.89,0.66,0.15,0.54,0.01,0.02,0.06,1.03,1.09,0.35,0.4,1.28,0.26,8.5,0.53,0.35,0.03,5
TJK,0.48,1.6,0.52,1.41,1.56,2.27,1.13,0.5,0.51,0.07,1.09,0.01,0.05,0.09,0.85,0.96,0.28,0.29,1.09,0.26,8.74,0.32,0.26,0.05,8
TKM,0.48,1.6,0.52,1.41,1.56,2.27,1.13,0.5,0.51,0.07,1.09,0.01,0.05,0.09,0.85,0.96,0.28,0.29,1.09,0.26,8.74,0.32,0.26,0.05,8
TLS,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
TON,0.05,1.12,0.26,0.6,1.83,3.45,0.68,0.98,0.48,0.01,0.54,0.01,0.03,0.06,1.03,1.1,0.32,0.4,1.26,0.26,8.5,0.58,0.42,0.03,5
TTO,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
TUN,0.66,0.97,0.44,0.72,1.32,3.17,1.48,0.42,1.3,0.03,0.8,0.01,0.06,0.06,0.75,1.12,0.45,0.1,0.78,0.18,8.55,0.27,0.26,0.08,2
